Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward
1000,1.4688132,10.407749,8.073083,1.3532642,0.00028537153,136.61566,0.08707617,21.752113,0.84751415,7.5884275,0.53889275,0.5439901,0.118986025,-0.24722570038284175,497.5,-5.135749956592917,318.8844497203827,465.23613452911377
1500,1.738967,16.891825,25.491114,1.2925589,0.0002750491,29.611256,0.09011787,5.4490724,0.65769696,4.9567356,0.51371056,0.49339044,0.09555918,4.4598358772927895,335.0,4.550567080266774,108.15941178798676,379.9016876220703
2000,1.6375837,14.7885,33.353962,1.2321727,0.00026455062,12.4374275,0.08812961,2.8884442,0.31138468,3.1304357,0.50469476,0.48902583,0.07986199,4.744905673796893,284.5,4.744905415922403,21.919694006443024,190.93564653396606
2500,2.21065,12.874152,36.846607,1.1665586,0.00025474225,19.669573,0.086756244,1.9688903,0.44133824,2.2554488,0.45449543,0.54456687,0.07037756,4.4861904067365685,260.5,4.486190501600504,11.858108788728714,254.07465076446533
3000,1.6539111,10.919902,42.229935,1.104073,0.00024479194,42.408344,0.08100496,1.3223202,0.18364757,2.2820296,0.5263547,0.4869845,0.05886649,4.520013099143398,227.5,4.520013052038848,7.016456305980682,187.56870937347412
3500,2.3255475,9.347654,43.63445,1.0452572,0.00023483399,14.83317,0.09706524,1.1978909,0.4739325,1.8013935,0.50206894,0.5105962,0.05286126,4.679030964170427,195.33333333333334,4.764824825339019,5.742559462785721,172.58548212051392
4000,2.624124,7.7692857,45.36486,0.98223126,0.00022498214,2.385391,0.121290535,0.88704324,0.4069778,1.6031383,0.49079403,0.5267307,0.04821797,4.6749351515124244,147.33333333333334,4.6330619771033525,3.0389807000756264,114.31571459770203
4500,3.1287498,7.106824,45.251175,0.91767853,0.00021457615,2.611446,0.1514954,0.769494,0.49260032,1.5263495,0.45835128,0.5454825,0.044468977,4.633651037301336,72.57142857142857,4.633651044219732,1.1783354495252882,48.96246222087315
5000,1.2613579,7.704877,55.10811,0.8539142,0.00020454923,12.762455,0.16586997,2.4866319,0.35699517,1.7047526,0.47250742,0.51920193,0.040605478,3.9840240332996473,359.0,3.9840239780023694,28.767138838768005,383.9360580444336
5500,1.8810025,6.88749,54.698593,0.7974567,0.00019475189,7.6699805,0.11502402,1.2954973,0.13302135,1.6529523,0.4911214,0.5263218,0.03778885,4.647300438664388,353.0,4.647300650365651,15.608152031898499,258.0773582458496
6000,1.7569802,6.237355,55.20139,0.7297795,0.00018479065,14.658598,0.0986231,1.4796717,0.30793008,1.8388805,0.5166631,0.4816316,0.03520068,4.58764912445622,312.0,4.587649044115096,10.12249231338501,316.92794609069824
6500,1.8887087,5.289432,55.769707,0.6648589,0.00017476136,10.560947,0.11910498,0.946028,0.276434,1.7730186,0.5318857,0.4766788,0.03287445,4.462287205242319,275.0,4.462287370115519,6.7216624319553375,247.94960594177246
7000,2.0906696,4.6732807,58.502563,0.59909075,0.00016479958,10.82432,0.076781034,0.79981446,0.29193273,1.6015437,0.4789601,0.53833,0.03053997,4.4598604825441726,246.5,4.459860514383763,3.9018353521823883,183.4540891647339
7500,2.4218569,4.181391,60.39681,0.5344288,0.00015471666,2.3768709,0.112140484,0.6099959,0.38386714,1.6662399,0.5155072,0.4750105,0.029685318,4.784291237680009,216.0,4.784291225485504,2.704268991947174,190.31291675567627
8000,2.8151636,4.0533676,59.305,0.4673619,0.00014489383,5.5201077,0.08326754,0.537708,0.3518705,1.5331916,0.4951348,0.525532,0.028169531,4.692594590868491,177.66666666666666,4.692594495601952,1.974421842644612,138.17893060048422
8500,3.1299932,4.161853,59.074093,0.40662998,0.00013469301,1.8770099,0.18060896,0.39757398,0.3899659,1.4989655,0.478509,0.53246176,0.026949313,4.580181744293077,117.6,4.580181674472987,1.1516082808375359,84.03941020965576
9000,2.526923,4.445352,63.260098,0.34163535,0.00012474398,7.6371627,0.17222561,0.84505767,0.5418666,1.6529814,0.47375342,0.4960697,0.025862772,4.713401549401169,50.5,4.713401552522555,0.3866049386560917,26.36878204345703
9500,1.5604476,3.5562582,66.49971,0.27625945,0.00011485441,7.625314,0.17814061,0.89932525,0.20754641,1.5723498,0.50095356,0.5158897,0.025063226,4.320101001838339,353.5,4.320100952871144,7.931381285190582,327.9512062072754
10000,1.5821581,3.3696723,66.34166,0.21454945,0.00010492087,6.7281146,0.11246314,0.82954484,0.4021781,1.689609,0.51325494,0.48775733,0.023940422,4.552528207976138,334.0,4.552528311498463,4.4353311359882355,355.81024169921875
10500,1.7275157,3.2830858,64.94454,0.14982252,9.505541e-05,3.698336,0.07998872,0.5620236,0.3450358,1.5795063,0.52937585,0.49534407,0.023436828,4.820269354313496,285.5,4.820269290357828,4.339646145701408,224.64717769622803
11000,2.1484518,3.2823,63.9166,0.0789043,8.5206135e-05,1.7057626,0.07701861,0.47210705,0.35505268,1.4654088,0.49504286,0.51322216,0.022802249,4.471822393985349,261.5,4.471822444349527,3.052047938108444,190.34598636627197
11500,1.7218112,2.6688042,65.01865,0.010612953,7.522748e-05,1.3889294,0.10397582,0.35357624,0.1921556,1.4706895,0.49753016,0.5145984,0.02206473,4.523010996606899,228.0,4.5230109272524714,1.761355496942997,176.45722579956055
12000,2.702662,3.4884658,63.04773,-0.05675848,6.5255925e-05,2.8815026,0.1268198,0.333916,0.28988317,1.5219017,0.51514196,0.5074445,0.021365851,4.664698351814877,195.33333333333334,4.6646982456247015,1.4141039376457532,157.78440443674722
12500,2.720923,3.5073845,62.943123,-0.12080413,5.5495228e-05,0.90812844,0.1004796,0.236616,0.35583672,1.4007628,0.46860802,0.5243412,0.020887876,4.605771389884467,139.5,4.666776311273376,0.7310747082034746,94.1422986984253
13000,3.2754247,4.312519,61.235935,-0.18527746,4.51173e-05,0.8507166,0.09961653,0.25285572,0.5136871,1.354057,0.45743474,0.56340736,0.02056212,4.667661894360208,65.33333333333333,4.632675367274454,0.3936801425048283,47.126562527247835
13500,1.096835,2.5798602,68.92259,-0.25337753,3.5039022e-05,11.151397,0.11966455,0.57567966,0.25165775,1.5838907,0.5032325,0.5104611,0.020224068,4.027185114013264,352.0,4.027184893377125,5.357341915369034,394.47154235839844
14000,2.1656961,3.1688068,66.465614,-0.30956373,2.5079933e-05,3.9710875,0.072392106,0.4348576,0.19599675,1.5783677,0.51450855,0.48899052,0.019893222,4.571990284748608,344.0,4.571990181691945,3.4584996849298477,318.20812129974365
14500,1.0856872,2.2273636,67.54503,-0.3678996,1.5150074e-05,1.0963703,0.074648894,0.5170056,0.30259863,1.5158148,0.509878,0.508444,0.019691542,4.719371527142357,290.0,4.719371739774942,3.058973580598831,230.4521827697754
15000,1.793838,2.5770843,65.48428,-0.43218213,5.2889513e-06,4.2603097,0.11703473,0.30952704,0.247468,1.5845704,0.5319346,0.4768604,0.019367106,4.459867301164195,276.0,4.459867421537638,2.179154433310032,232.29268741607666
